"filename", "language", "JSON", "C#", "YAML", "XML", "Docker", "CSS", "Properties", "Razor", "Ignore", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 30
"c:\Users\Anuxa\source\repos\iWenJuan\.vs\iWenJuan\v17\DocumentLayout.backup.json", "JSON", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 210
"c:\Users\Anuxa\source\repos\iWenJuan\.vs\iWenJuan\v17\DocumentLayout.json", "JSON", 278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 278
"c:\Users\Anuxa\source\repos\iWenJuan\docker-compose.override.yml", "YAML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Anuxa\source\repos\iWenJuan\docker-compose.yml", "YAML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\Program.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 7, 5, 26
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\Properties\launchSettings.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\appsettings.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\bin\Debug\net9.0\iWenJuan.AppHost.deps.json", "JSON", 1291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1291
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\bin\Debug\net9.0\iWenJuan.AppHost.runtimeconfig.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\iWenJuan.AppHost.csproj", "XML", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\obj\Debug\net9.0\AppSettingsSchema.json", "JSON", 1087, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1087
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\obj\Debug\net9.0\Aspire\references\_AppHost.ProjectMetadata.g.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\obj\Debug\net9.0\Aspire\references\iWenJuan_Client_WorkSpace.ProjectMetadata.g.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\obj\Debug\net9.0\Aspire\references\iWenJuan_Server_DataProcessing.ProjectMetadata.g.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
