"filename", "language", "XML", "JSON", "C#", "Properties", "CSS", "YAML", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\.vs\iWenJuan\v17\DocumentLayout.backup.json", "JSON", 0, -210, 0, 0, 0, 0, 0, 0, -210
"c:\Users\Anuxa\source\repos\iWenJuan\.vs\iWenJuan\v17\DocumentLayout.json", "JSON", 0, -278, 0, 0, 0, 0, 0, 0, -278
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\bin\Debug\net9.0\iWenJuan.AppHost.deps.json", "JSON", 0, -1291, 0, 0, 0, 0, 0, 0, -1291
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\bin\Debug\net9.0\iWenJuan.AppHost.runtimeconfig.json", "JSON", 0, -18, 0, 0, 0, 0, 0, 0, -18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 0, -3, 0, 0, 0, -1, -1, -5
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\obj\Debug\net9.0\AppSettingsSchema.json", "JSON", 0, -1087, 0, 0, 0, 0, 0, 0, -1087
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\obj\Debug\net9.0\Aspire\references\_AppHost.ProjectMetadata.g.cs", "C#", 0, 0, -9, 0, 0, 0, -1, -3, -13
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\obj\Debug\net9.0\Aspire\references\iWenJuan_Client_WorkSpace.ProjectMetadata.g.cs", "C#", 0, 0, -8, 0, 0, 0, -1, -3, -12
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\obj\Debug\net9.0\Aspire\references\iWenJuan_Server_DataProcessing.ProjectMetadata.g.cs", "C#", 0, 0, -8, 0, 0, 0, -1, -3, -12
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\obj\Debug\net9.0\CombinedComponentSchema.json", "JSON", 0, -10, 0, 0, 0, 0, 0, 0, -10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\obj\Debug\net9.0\iWenJuan.AppHost.AssemblyInfo.cs", "C#", 0, 0, -20, 0, 0, 0, -10, -5, -35
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\obj\Debug\net9.0\iWenJuan.AppHost.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, -15, 0, 0, 0, -1, -16
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\obj\Debug\net9.0\iWenJuan.AppHost.GlobalUsings.g.cs", "C#", 0, 0, -9, 0, 0, 0, -1, -1, -11
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\obj\iWenJuan.AppHost.csproj.nuget.dgspec.json", "JSON", 0, -107, 0, 0, 0, 0, 0, 0, -107
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\obj\iWenJuan.AppHost.csproj.nuget.g.props", "XML", -28, 0, 0, 0, 0, 0, 0, 0, -28
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\obj\iWenJuan.AppHost.csproj.nuget.g.targets", "XML", -13, 0, 0, 0, 0, 0, 0, 0, -13
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\obj\project.assets.json", "JSON", 0, -3624, 0, 0, 0, 0, 0, 0, -3624
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\bin\Debug\net9.0\appsettings.Development.json", "JSON", 0, -8, 0, 0, 0, 0, 0, -1, -9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\bin\Debug\net9.0\appsettings.json", "JSON", 0, -9, 0, 0, 0, 0, 0, -1, -10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\bin\Debug\net9.0\iWenJuan.Client.WorkSpace.deps.json", "JSON", 0, -989, 0, 0, 0, 0, 0, 0, -989
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\bin\Debug\net9.0\iWenJuan.Client.WorkSpace.runtimeconfig.json", "JSON", 0, -19, 0, 0, 0, 0, 0, 0, -19
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\bin\Debug\net9.0\iWenJuan.Client.WorkSpace.staticwebassets.endpoints.json", "JSON", 0, -6413, 0, 0, 0, 0, 0, 0, -6413
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\bin\Debug\net9.0\iWenJuan.Client.WorkSpace.staticwebassets.runtime.json", "JSON", 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 0, -3, 0, 0, 0, -1, -1, -5
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\iWenJuan.Client.WorkSpace.AssemblyInfo.cs", "C#", 0, 0, -9, 0, 0, 0, -10, -5, -24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\iWenJuan.Client.WorkSpace.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, -54, 0, 0, 0, -12, -66
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\iWenJuan.Client.WorkSpace.GlobalUsings.g.cs", "C#", 0, 0, -16, 0, 0, 0, -1, -1, -18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\jsmodules\jsmodules.build.manifest.json", "JSON", 0, -3, 0, 0, 0, 0, 0, 0, -3
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\scopedcss\bundle\iWenJuan.Client.WorkSpace.styles.css", "CSS", 0, 0, 0, 0, -1, 0, 0, -2, -3
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\staticwebassets.build.endpoints.json", "JSON", 0, -6413, 0, 0, 0, 0, 0, 0, -6413
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\staticwebassets.build.json", "JSON", 0, -8109, 0, 0, 0, 0, 0, 0, -8109
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\staticwebassets.development.json", "JSON", 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\staticwebassets.pack.json", "JSON", 0, -33, 0, 0, 0, 0, 0, 0, -33
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\staticwebassets\msbuild.build.iWenJuan.Client.WorkSpace.props", "XML", -4, 0, 0, 0, 0, 0, 0, 0, -4
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\staticwebassets\msbuild.buildMultiTargeting.iWenJuan.Client.WorkSpace.props", "XML", -3, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\staticwebassets\msbuild.buildTransitive.iWenJuan.Client.WorkSpace.props", "XML", -3, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\staticwebassets\msbuild.iWenJuan.Client.WorkSpace.Microsoft.AspNetCore.StaticWebAssetEndpoints.props", "XML", -28, 0, 0, 0, 0, 0, 0, 0, -28
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\Debug\net9.0\staticwebassets\msbuild.iWenJuan.Client.WorkSpace.Microsoft.AspNetCore.StaticWebAssets.props", "XML", -40, 0, 0, 0, 0, 0, 0, 0, -40
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\iWenJuan.Client.WorkSpace.csproj.nuget.dgspec.json", "JSON", 0, -266, 0, 0, 0, 0, 0, 0, -266
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\iWenJuan.Client.WorkSpace.csproj.nuget.g.props", "XML", -20, 0, 0, 0, 0, 0, 0, 0, -20
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\iWenJuan.Client.WorkSpace.csproj.nuget.g.targets", "XML", -11, 0, 0, 0, 0, 0, 0, 0, -11
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\obj\project.assets.json", "JSON", 0, -2660, 0, 0, 0, 0, 0, 0, -2660
