Date : 2025-02-21 20:38:47
Directory : c:\Users\Anuxa\source\repos\iWenJuan
Total : 121 files,  3132 codes, 798 comments, 667 blanks, all 4597 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         65 |      1,824 |        773 |        469 |      3,066 |
| JSON     |         25 |        408 |          0 |         18 |        426 |
| Razor    |         11 |        390 |          0 |         65 |        455 |
| XML      |         11 |        203 |          0 |         54 |        257 |
| CSS      |          1 |        157 |          0 |         35 |        192 |
| Docker   |          5 |        102 |         25 |         25 |        152 |
| Ignore   |          1 |         30 |          0 |          0 |         30 |
| YAML     |          2 |         18 |          0 |          1 |         19 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |        121 |      3,132 |        798 |        667 |      4,597 |
| . (Files)                                                                                                   |          4 |         59 |          0 |          1 |         60 |
| iWenJuan                                                                                                    |          7 |        233 |         38 |         48 |        319 |
| iWenJuan.AppHost                                                                                            |          5 |         86 |          7 |         13 |        106 |
| iWenJuan.AppHost (Files)                                                                                    |          4 |         54 |          7 |         13 |         74 |
| iWenJuan.AppHost\Properties                                                                                 |          1 |         32 |          0 |          0 |         32 |
| iWenJuan.Client.WorkSpace                                                                                   |         20 |        710 |         17 |        140 |        867 |
| iWenJuan.Client.WorkSpace (Files)                                                                           |          4 |         78 |          6 |         21 |        105 |
| iWenJuan.Client.WorkSpace\Components                                                                        |         11 |        390 |          0 |         65 |        455 |
| iWenJuan.Client.WorkSpace\Components (Files)                                                                |          3 |         40 |          0 |          6 |         46 |
| iWenJuan.Client.WorkSpace\Components\Layout                                                                 |          3 |        119 |          0 |         15 |        134 |
| iWenJuan.Client.WorkSpace\Components\Pages                                                                  |          5 |        231 |          0 |         44 |        275 |
| iWenJuan.Client.WorkSpace\Components\Pages (Files)                                                          |          2 |         33 |          0 |         11 |         44 |
