"filename", "language", "Razor", "XML", "C#", "JSON", "CSS", "Docker", "YAML", "Ignore", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 30
"c:\Users\Anuxa\source\repos\iWenJuan\docker-compose.override.yml", "YAML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\Anuxa\source\repos\iWenJuan\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\Program.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 7, 5, 26
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\Properties\launchSettings.json", "JSON", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 32
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\appsettings.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\iWenJuan.AppHost.csproj", "XML", 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\App.razor", "Razor", 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Layout\AuthLayout.razor", "Razor", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Layout\MainLayout.razor", "Razor", 97, 0, 0, 0, 0, 0, 0, 0, 0, 14, 111
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Layout\NavMenu.razor", "Razor", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Auth\Login.razor", "Razor", 101, 0, 0, 0, 0, 0, 0, 0, 0, 10, 111
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Auth\Register.razor", "Razor", 81, 0, 0, 0, 0, 0, 0, 0, 0, 14, 95
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Auth\VerifyRegister.razor", "Razor", 81, 0, 0, 0, 0, 0, 0, 0, 0, 13, 94
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Data\DataManager.razor", "Razor", 52, 0, 0, 0, 0, 0, 0, 0, 0, 10, 62
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Data\DataPreviewer.razor", "Razor", 57, 0, 0, 0, 0, 0, 0, 0, 0, 17, 74
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Data\DataVisualizer.razor", "Razor", 59, 0, 0, 0, 0, 0, 0, 0, 0, 17, 76
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Error.razor", "Razor", 29, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Home.razor", "Razor", 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\OptionEditor.razor", "Razor", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\QuestionEditor.razor", "Razor", 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\SurveyEditor.razor", "Razor", 117, 0, 0, 0, 0, 0, 0, 0, 0, 17, 134
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\SurveyManager.razor", "Razor", 72, 0, 0, 0, 0, 0, 0, 0, 0, 12, 84
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Test.razor", "Razor", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Routes.razor", "Razor", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\_Imports.razor", "Razor", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Program.cs", "C#", 0, 0, 65, 0, 0, 0, 0, 0, 9, 15, 89
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Properties\launchSettings.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Services\AuthStateProvider.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Services\AuthenticationService.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Services\HttpOnlyCookieService.cs", "C#", 0, 0, 28, 0, 0, 0, 0, 0, 11, 7, 46
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\appsettings.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\iWenJuan.Client.WorkSpace.csproj", "XML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\wwwroot\app.css", "CSS", 0, 0, 0, 0, 157, 0, 0, 0, 0, 35, 192
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Controllers\AuthController.cs", "C#", 0, 0, 103, 0, 0, 0, 0, 0, 53, 23, 179
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Controllers\UserController.cs", "C#", 0, 0, 31, 0, 0, 0, 0, 0, 8, 6, 45
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Data\AuthDbContext.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Dockerfile", "Docker", 0, 0, 0, 0, 0, 21, 0, 0, 5, 5, 31
