"filename", "language", "C#", "JSON", "XML", "Razor", "JavaScript", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\App.razor", "Razor", 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Custom\FluentSelectEnum.razor", "Razor", 0, 0, 0, 52, 0, 0, 7, 59
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Layout\MainLayout.razor", "Razor", 0, 0, 0, 11, 0, 0, -2, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Layout\NavMenu.razor", "Razor", 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Auth\Login.razor", "Razor", 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Auth\Register.razor", "Razor", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Auth\VerifyRegister.razor", "Razor", 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Data\DataManager.razor", "Razor", 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Data\DataProcesser.razor", "Razor", 0, 0, 0, 6, 0, 0, 6, 12
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Data\DataVisualizer.razor", "Razor", 0, 0, 0, 154, 0, 0, 15, 169
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\QuestionEditor.razor", "Razor", 0, 0, 0, 9, 0, 0, 2, 11
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\SurveyEditor.razor", "Razor", 0, 0, 0, 5, 0, 0, 4, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\SurveyManager.razor", "Razor", 0, 0, 0, -4, 0, 0, -2, -6
