"filename", "language", "C#", "JavaScript", "XML", "Razor", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\App.razor", "Razor", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Custom\FluentAnswerLinkDialog.razor", "Razor", 0, 0, 0, 51, 0, 9, 60
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Custom\FluentConfirmDialog.razor", "Razor", 0, 0, 0, 33, 0, 7, 40
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Custom\FluentSelectEnum.razor", "Razor", 0, 0, 0, -1, 0, 0, -1
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Layout\MainLayout.razor", "Razor", 0, 0, 0, 19, 0, 0, 19
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Layout\NavMenu.razor", "Razor", 0, 0, 0, -1, 0, 0, -1
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Auth\ChangePassword.razor", "Razor", 0, 0, 0, 82, 0, 14, 96
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Auth\Login.razor", "Razor", 0, 0, 0, 17, 0, 0, 17
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Auth\PersonalSpace.razor", "Razor", 0, 0, 0, 44, 0, 7, 51
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Auth\Register.razor", "Razor", 0, 0, 0, -1, 0, 1, 0
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Auth\VerifyChangePassword.razor", "Razor", 0, 0, 0, 83, 0, 13, 96
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Data\DataManager.razor", "Razor", 0, 0, 0, -8, 0, 0, -8
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Data\DataVisualizer.razor", "Razor", 0, 0, 0, -8, 0, -3, -11
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\ConditionEditorDialog.razor", "Razor", 0, 0, 0, 38, 0, 9, 47
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\ConditonEditor.razor", "Razor", 0, 0, 0, 23, 0, 4, 27
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\QuestionEditor.razor", "Razor", 0, 0, 0, 14, 0, 6, 20
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\SurveyEditor.razor", "Razor", 0, 0, 0, 73, 0, 7, 80
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\SurveyManager.razor", "Razor", 0, 0, 0, 51, 0, 2, 53
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Test.razor", "Razor", 0, 0, 0, -3, 0, -2, -5
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\iWenJuan.Client.WorkSpace.csproj", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\wwwroot\clipboard.js", "JavaScript", 0, 6, 0, 0, 0, 0, 6
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Controllers\ConditionsController.cs", "C#", 40, 0, 0, 0, 6, 12, 58
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Controllers\OptionsController.cs", "C#", -56, 0, 0, 0, 0, -4, -60
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Controllers\QuestionsController.cs", "C#", -54, 0, 0, 0, -1, -6, -61
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Controllers\SurveysController.cs", "C#", 7, 0, 0, 0, 4, -1, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Data\SurveyDbContext.cs", "C#", 5, 0, 0, 0, 0, 0, 5
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Extension\SurveyModelMapper.cs", "C#", 76, 0, 0, 0, 0, 4, 80
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Interface\ISurveyService.cs", "C#", 36, 0, 0, 0, 123, 25, 184
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Models\Condition.cs", "C#", 18, 0, 0, 0, 0, 4, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Models\Logic.cs", "C#", -16, 0, 0, 0, 0, -3, -19
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Models\Question.cs", "C#", 1, 0, 0, 0, 0, 1, 2
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Models\Survey.cs", "C#", -1, 0, 0, 0, 0, 0, -1
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Program.cs", "C#", 1, 0, 0, 0, 1, 0, 2
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Services\SurveyService.cs", "C#", 257, 0, 0, 0, 0, 21, 278
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Survey\ConditionDto.cs", "C#", 18, 0, 0, 0, 0, 3, 21
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Survey\LogicDto.cs", "C#", -16, 0, 0, 0, 0, -3, -19
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Survey\QuestionDto.cs", "C#", 1, 0, 0, 0, 0, -2, -1
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Survey\SurveyDto.cs", "C#", -1, 0, 0, 0, 0, 0, -1
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Enums\Effect.cs", "C#", 14, 0, 0, 0, 0, 3, 17
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Enums\Operator.cs", "C#", 20, 0, 0, 0, 0, 4, 24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Extension\DisplayAnnotationExtension.cs", "C#", -1, 0, 0, 0, 0, 1, 0
"Total", "-", 349, 6, 1, 507, 133, 133, 1129
