Date : 2025-03-15 12:39:40
Directory : c:\Users\Anuxa\source\repos\iWenJuan
Total : 154 files,  5191 codes, 909 comments, 995 blanks, all 7095 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C#         |         80 |      2,589 |        884 |        597 |      4,070 |
| Razor      |         28 |      1,629 |          0 |        261 |      1,890 |
| JSON       |         24 |        418 |          0 |         17 |        435 |
| XML        |         11 |        220 |          0 |         57 |        277 |
| CSS        |          1 |        157 |          0 |         35 |        192 |
| Docker     |          5 |        102 |         25 |         25 |        152 |
| Ignore     |          1 |         30 |          0 |          0 |         30 |
| JavaScript |          2 |         28 |          0 |          2 |         30 |
| YAML       |          2 |         18 |          0 |          1 |         19 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |        154 |      5,191 |        909 |        995 |      7,095 |
| . (Files)                                                                                                          |          4 |         59 |          0 |          1 |         60 |
| iWenJuan                                                                                                           |          6 |        207 |         44 |         50 |        301 |
| iWenJuan.AppHost                                                                                                   |          5 |         86 |          7 |         13 |        106 |
| iWenJuan.AppHost (Files)                                                                                           |          4 |         54 |          7 |         13 |         74 |
| iWenJuan.AppHost\Properties                                                                                        |          1 |         32 |          0 |          0 |         32 |
| iWenJuan.Client.WorkSpace                                                                                          |         39 |      2,010 |         20 |        339 |      2,369 |
| iWenJuan.Client.WorkSpace (Files)                                                                                  |          4 |        108 |          9 |         21 |        138 |
| iWenJuan.Client.WorkSpace\Components                                                                               |         28 |      1,629 |          0 |        261 |      1,890 |
| iWenJuan.Client.WorkSpace\Components (Files)                                                                       |          3 |         49 |          0 |          5 |         54 |
| iWenJuan.Client.WorkSpace\Components\Custom                                                                        |          3 |        135 |          0 |         23 |        158 |
| iWenJuan.Client.WorkSpace\Components\Layout                                                                        |          3 |        157 |          0 |         17 |        174 |
| iWenJuan.Client.WorkSpace\Components\Pages                                                                         |         19 |      1,288 |          0 |        216 |      1,504 |
| iWenJuan.Client.WorkSpace\Components\Pages (Files)                                                                 |          3 |         33 |          0 |         12 |         45 |
| iWenJuan.Client.WorkSpace\Components\Pages\Auth                                                                    |          6 |        505 |          0 |         73 |        578 |
| iWenJuan.Client.WorkSpace\Components\Pages\Data                                                                    |          4 |        314 |          0 |         62 |        376 |
| iWenJuan.Client.WorkSpace\Components\Pages\Survey                                                                  |          6 |        436 |          0 |         69 |        505 |
| iWenJuan.Client.WorkSpace\Properties                                                                               |          1 |         23 |          0 |          1 |         24 |
| iWenJuan.Client.WorkSpace\Services                                                                                 |          3 |         65 |         11 |         19 |         95 |
| iWenJuan.Client.WorkSpace\wwwroot                                                                                  |          3 |        185 |          0 |         37 |        222 |
| iWenJuan.Service.Auth                                                                                              |         20 |        589 |        244 |        128 |        961 |
| iWenJuan.Service.Auth (Files)                                                                                      |          5 |        134 |         31 |         24 |        189 |
| iWenJuan.Service.Auth\Controllers                                                                                  |          2 |        138 |         60 |         33 |        231 |
| iWenJuan.Service.Auth\Data                                                                                         |          1 |         14 |          0 |          4 |         18 |
| iWenJuan.Service.Auth\Interface                                                                                    |          5 |         31 |         72 |         16 |        119 |
| iWenJuan.Service.Auth\Models                                                                                       |          1 |         15 |          0 |          7 |         22 |
| iWenJuan.Service.Auth\Properties                                                                                   |          1 |         31 |          0 |          0 |         31 |
| iWenJuan.Service.Auth\Services                                                                                     |          4 |        179 |         54 |         35 |        268 |
| iWenJuan.Service.Auth\Utils                                                                                        |          1 |         47 |         27 |          9 |         83 |
| iWenJuan.Service.DataProcessing                                                                                    |         10 |        287 |         64 |         60 |        411 |
| iWenJuan.Service.DataProcessing (Files)                                                                            |          5 |         83 |          9 |         25 |        117 |
| iWenJuan.Service.DataProcessing\Controllers                                                                        |          1 |         32 |          0 |         12 |         44 |
| iWenJuan.Service.DataProcessing\Interface                                                                          |          1 |          6 |          0 |          3 |          9 |
| iWenJuan.Service.DataProcessing\Models                                                                             |          1 |          9 |          0 |          3 |         12 |
| iWenJuan.Service.DataProcessing\Properties                                                                         |          1 |         32 |          0 |          0 |         32 |
| iWenJuan.Service.DataProcessing\Services                                                                           |          1 |        125 |         55 |         17 |        197 |
| iWenJuan.Service.DataStorage                                                                                       |         13 |        304 |        108 |         63 |        475 |
| iWenJuan.Service.DataStorage (Files)                                                                               |          5 |        104 |         13 |         27 |        144 |
| iWenJuan.Service.DataStorage\Controllers                                                                           |          1 |         91 |         40 |         11 |        142 |
| iWenJuan.Service.DataStorage\Data                                                                                  |          1 |         10 |          0 |          3 |         13 |
| iWenJuan.Service.DataStorage\Interface                                                                             |          2 |         12 |         24 |          6 |         42 |
| iWenJuan.Service.DataStorage\Models                                                                                |          1 |         15 |          0 |          3 |         18 |
| iWenJuan.Service.DataStorage\Properties                                                                            |          1 |         31 |          0 |          0 |         31 |
| iWenJuan.Service.DataStorage\Services                                                                              |          2 |         41 |         31 |         13 |         85 |
| iWenJuan.Service.Email                                                                                             |          9 |        209 |         82 |         50 |        341 |
| iWenJuan.Service.Email (Files)                                                                                     |          5 |         93 |         13 |         25 |        131 |
| iWenJuan.Service.Email\Interface                                                                                   |          1 |          5 |         10 |          2 |         17 |
| iWenJuan.Service.Email\Properties                                                                                  |          1 |         31 |          0 |          0 |         31 |
| iWenJuan.Service.Email\Services                                                                                    |          2 |         80 |         59 |         23 |        162 |
