"filename", "language", "C#", "JSON", "Razor", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Layout\MainLayout.razor", "Razor", 0, 0, 4, 0, 1, 5
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Dashboard.razor", "Razor", 0, 0, 102, 0, 23, 125
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Data\AggregateOperationEditor.razor", "Razor", 0, 0, 3, 0, 3, 6
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Data\DataProcesser.razor", "Razor", 0, 0, 29, 0, -1, 28
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Data\OperationEditor.razor", "Razor", 0, 0, 53, 0, 5, 58
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\ConditionEditorDialog.razor", "Razor", 0, 0, 0, 0, -1, -1
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\SurveyManager.razor", "Razor", 0, 0, 10, 0, 4, 14
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Controllers\CsvProcessingController.cs", "C#", 10, 0, 0, 2, 2, 14
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Services\CsvProcessingService.cs", "C#", 23, 0, 0, 4, 1, 28
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\appsettings.json", "JSON", 0, 6, 0, 0, 0, 6
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Controllers\DashboardController.cs", "C#", 24, 0, 0, 2, 6, 32
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Extension\SurveyModelMapper.cs", "C#", 30, 0, 0, 0, 1, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Interface\IDashboardService.cs", "C#", 6, 0, 0, 0, 2, 8
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Program.cs", "C#", 1, 0, 0, 1, 0, 2
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Survey\Services\DashboardService.cs", "C#", 24, 0, 0, 0, 5, 29
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\Dashboard\SurveySummaryDto.cs", "C#", 10, 0, 0, 0, 4, 14
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Dtos\DataProcess\CsvOperation.cs", "C#", 0, 0, 0, -1, 0, -1
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Enums\CsvOperationType.cs", "C#", 2, 0, 0, 0, 0, 2
"Total", "-", 130, 6, 201, 8, 55, 400
