"filename", "language", "JSON", "C#", "Ignore", "XML", "Docker", "CSS", "JavaScript", "Razor", "YAML", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\.dockerignore", "Ignore", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\Anuxa\source\repos\iWenJuan\docker-compose.override.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 12
"c:\Users\Anuxa\source\repos\iWenJuan\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\Program.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 7, 5, 26
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\Properties\launchSettings.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\appsettings.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\iWenJuan.AppHost.csproj", "XML", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\App.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 5, 27
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Custom\FluentAnswerLinkDialog.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 9, 60
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Custom\FluentConfirmDialog.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 7, 40
